client_id,total_purchases,total_items,average_spent,seasonal_customer,target
1515915625468060902,885,1239,959.0,0,0
1515915625468061003,165,1155,2319.285714285714,0,1
1515915625468061099,276,276,299.0,0,0
1515915625468061100,428,856,1049.0,0,0
1515915625468061170,879,4981,1932.4444444444446,0,0
1515915625468061514,180,180,999.0,0,0
1515915625468061877,229,229,1499.0,0,0
1515915625468061975,180,180,299.0,0,0
1515915625468061994,1512,3024,134.0,0,0
1515915625468062158,344,688,1524.0,0,0
1515915625468062184,253,1012,804.5,0,0
1515915625468062203,268,268,1499.0,0,0
1515915625468062556,210,420,799.0,0,0
1515915625468062558,600,1200,2274.0,0,0
1515915625468062595,852,2130,1127.625,1,0
1515915625468062659,805,805,1219.0,0,0
1515915625468062723,177,177,2799.0,0,0
1515915625468062757,474,1422,2299.0,0,0
1515915625468062941,855,855,1081.0,0,0
1515915625468063026,1012,2530,1462.625,0,1
1515915625468063069,342,342,599.0,0,0
1515915625468063184,614,921,2099.0,0,0
1515915625468063334,1167,1167,3499.0,0,0
1515915625468063379,1024,1024,1149.0,0,0
1515915625468063381,354,354,999.0,0,1
1515915625468063399,334,334,1399.0,0,0
1515915625468063407,525,875,776.7777777777777,0,0
1515915625468063442,156,156,999.0,0,0
1515915625468063468,136,136,1499.0,0,0
1515915625468063591,79,79,1999.0,0,0
1515915625468063746,50,50,1299.0,0,0
1515915625468063772,1198,1198,1599.0,0,0
1515915625468063775,1224,2040,420.0,0,0
1515915625468063833,285,285,299.0,0,0
1515915625468063854,212,212,399.0,0,0
1515915625468063929,183,183,2199.0,0,0
1515915625468064040,396,792,619.5,0,0
1515915625468064112,699,699,399.0,0,0
1515915625468064290,33,33,499.0,0,0
1515915625468064356,508,762,1949.0,0,0
1515915625468064438,6695,15450,1831.8589743589744,0,0
1515915625468064446,686,686,374.0,0,0
1515915625468064807,293,293,2399.0,0,0
1515915625468064867,249,249,1816.0,0,0
1515915625468064943,888,2220,524.0,0,0
1515915625468065081,288,864,2643.5555555555557,0,0
1515915625468065092,1200,3000,298.6875,0,0
1515915625468065100,151,302,699.0,0,0
1515915625468065250,894,894,2332.3333333333335,0,0
1515915625468065413,157,157,1999.0,0,0
1515915625468065450,344,2236,1731.4125000000001,0,0
1515915625468065603,262,524,399.0,0,0
1515915625468065652,1011,2022,1732.7777777777778,0,1
1515915625468065671,254,1016,1089.5,0,0
1515915625468066077,819,2184,465.6666666666667,0,0
1515915625468066292,199,199,399.0,0,0
1515915625468066318,210,420,1259.0,0,0
1515915625468066388,400,400,1299.0,0,0
1515915625468066403,220,220,2599.0,1,0
1515915625468066405,312,936,1854.25,0,0
1515915625468066562,322,966,1499.0,0,0
1515915625468066575,195,195,999.0,0,0
1515915625468066580,458,1374,229.0,0,0
1515915625468066803,1234,1851,874.0,0,0
1515915625468066902,805,2898,3106.4666666666667,0,0
1515915625468066927,260,260,999.0,0,0
1515915625468067083,182,2184,4742.083333333333,0,0
1515915625468067098,754,754,2749.0,0,0
1515915625468067124,75,75,1999.0,0,0
1515915625468067197,392,588,1129.5,0,0
1515915625468067342,125,125,199.0,0,0
1515915625468067350,250,250,2399.0,0,0
1515915625468067414,89,178,999.0,0,0
1515915625468067429,1065,2556,710.65,0,0
1515915625468067505,182,182,1699.0,0,0
1515915625468067672,231,231,1299.0,0,0
1515915625468067715,181,181,399.0,0,0
1515915625468067792,708,1416,1699.0,0,0
1515915625468067839,411,411,2199.0,0,0
1515915625468067864,460,920,699.0,1,0
1515915625468067870,143,143,1999.0,0,0
1515915625468068160,687,916,1482.3333333333333,0,0
1515915625468068171,233,233,999.0,0,0
1515915625468068308,360,720,664.5,0,0
1515915625468068447,1630,4564,600.1333333333333,1,0
1515915625468068561,177,354,599.0,0,0
1515915625468068600,342,684,2499.0,0,0
1515915625468068605,182,182,1999.0,0,0
1515915625468068690,1939,3324,1286.2857142857142,0,0
1515915625468068833,297,1782,2974.5,0,1
1515915625468068840,564,10152,108.33333333333333,0,0
1515915625468068868,217,217,999.0,0,0
1515915625468068883,161,161,999.0,0,0
1515915625468068915,162,324,1399.0,0,0
1515915625468068925,898,898,1499.0,0,0
1515915625468068931,382,1910,432.33333333333337,0,0
1515915625468068974,185,370,909.0,1,0
1515915625468069037,506,1518,1149.0,0,0
1515915625468069101,840,1176,1498.8,0,0
1515915625468069115,279,279,1499.0,0,0
1515915625468069178,250,250,1699.0,0,0
1515915625468069342,723,723,1999.0,0,0
1515915625468069361,205,205,2999.0,0,0
1515915625468069488,966,966,1027.5,0,0
1515915625468069655,96,96,1499.0,0,0
1515915625468069714,181,181,699.0,0,0
1515915625468069796,258,258,1499.0,0,0
1515915625468069873,2430,2430,3259.0,0,0
1515915625468069875,294,441,599.0,0,0
1515915625468069903,437,874,1074.0,0,0
1515915625468069976,338,338,799.0,1,0
1515915625468069995,257,514,2100.0,0,0
1515915625468070051,627,3762,21499.0,0,0
1515915625468070068,819,2730,408.9111111111111,0,0
1515915625468070092,203,203,1999.0,0,0
1515915625468070109,107,321,3149.3333333333335,0,0
1515915625468070155,245,490,2974.0,0,0
1515915625468070166,414,414,2099.0,0,0
1515915625468070175,1040,1300,1824.0,0,0
1515915625468070230,499,499,1999.0,0,0
1515915625468070311,1224,3264,1749.0,0,0
1515915625468070414,160,320,490.0,0,0
1515915625468070488,58,58,1499.0,0,0
1515915625468070537,205,410,319.0,0,0
1515915625468070576,356,1068,849.0,0,0
1515915625468070628,504,1512,1109.5,1,0
1515915625468070629,396,396,482.5,1,0
1515915625468070718,278,278,1299.0,0,0
1515915625468070921,268,268,7499.0,0,0
1515915625468070925,84,168,599.0,0,0
1515915625468071093,148,444,349.6666666666667,0,0
1515915625468071147,1113,4081,1443.5555555555554,0,0
1515915625468071185,418,836,1824.0,0,0
1515915625468071363,2328,6208,599.4166666666666,0,0
1515915625468071463,549,549,1655.0,0,0
1515915625468071483,606,606,1499.0,0,0
1515915625468071585,216,864,2209.5,0,0
1515915625468071647,284,284,2999.0,0,0
1515915625468071652,4160,7800,179.0,0,0
1515915625468071809,614,614,1299.0,0,0
1515915625468071866,293,586,1249.0,0,0
1515915625468071919,192,192,999.0,0,0
1515915625468071921,248,1488,1166.0,0,0
1515915625468071937,409,2045,719.0,0,0
1515915625468072009,864,864,449.0,0,0
1515915625468072035,940,3525,274.125,0,0
1515915625468072085,324,324,1149.0,0,0
1515915625468072086,1434,2151,479.55555555555554,0,0
1515915625468072322,405,810,699.0,0,1
1515915625468072362,1410,5170,92.16666666666667,0,0
1515915625468072367,2940,7560,1328.642857142857,0,0
1515915625468072415,556,556,353.0,0,0
1515915625468072486,1264,1264,874.0,0,0
1515915625468072531,515,1030,1560.0,0,0
1515915625468072583,848,6572,2032.563888888889,0,0
1515915625468072652,187,187,1499.0,1,0
1515915625468072696,632,1264,1644.0,0,0
1515915625468072779,50,100,2424.0,0,0
1515915625468072855,220,660,999.0,0,0
1515915625468073040,336,336,2499.0,0,0
1515915625468073058,354,2124,239.33333333333334,0,0
1515915625468073080,307,307,79.0,0,0
1515915625468073179,454,908,1149.0,0,0
